,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
2465,3,04/05/2015,Applicate,Workforce Management Software,Bangalore,"Rishi Vasudev, Amit Gupta, Rajiv Nayan",Seed Funding,"550,000",
2466,4,04/05/2015,World Art Community,Online Art Marketplace,Gurgaon,Viraj Tyagi & others,Seed Funding,"200,000",
2467,5,04/05/2015,SpoonJoy,Online Food Delivery,Bangalore,SAIF Partners,Seed Funding,"1,000,000",
2468,6,05/05/2015,Seed Schools,Affordable Education,Hyderabad,Acumen Fund,Seed Funding,"650,000",
2469,7,05/05/2015,Ignis Careers,Career Development,Hyderabad,Acumen Fund,Seed Funding,"250,000",
2470,8,05/05/2015,Square Yards,Real Estate Advisory,Gurgaon,Undisclosed Investors,Private Equity,"6,000,000",pre-Series A
2471,9,05/05/2015,Fintellix,Banking Analytics Platform,Bangalore,"IDG Ventures, Sequoia Capital",Private Equity,"15,000,000",Series C
2472,10,05/05/2015,Customer360,Customer Engagement Platform,Mumbai,Vishwas Patel,Seed Funding,N/A,
2473,11,06/05/2015,Delhivery,Ecommerce Logistics,Gurgaon,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",Private Equity,"85,000,000",Series D
2474,12,06/05/2015,Swiggy,Online Food Delivery,Bangalore,Norwest Venture Partners,Private Equity,"15,000,000",Series B
2475,13,07/05/2015,Uniphore,Speech Recognition Solutions,Chennai,"IDG Ventures, Kris Gopalakrishnan",Private Equity,N/A,Series A
2476,14,07/05/2015,Box8,Online Food Delivery,Mumbai,Mayfield Ventures,Private Equity,"3,500,000",Series A
2477,15,07/05/2015,Toppr,Online Education Platform,Mumbai,"Fidelity Growth Partners India, SAIF Partners,  Helion Ventures",Private Equity,"10,000,000",Series B
2478,16,07/05/2015,Vedantu,Online Education Platform,Bangalore,"Accel Partners, Tiger Global Management",Private Equity,"5,000,000",Series A
2479,17,08/05/2015,BuyHatke,Online Product Comparison,Bangalore,"S.Gopalakrishnan, Beenos",Seed Funding,"1,000,000",
2480,18,08/05/2015,KleverKid,Online Education Platform,New Delhi,Aarin Capital Partners,Seed Funding,N/A,
2481,19,08/05/2015,Uniken,Online Security Platform,Pune,Exfinity Ventures,Private Equity,"2,000,000",Bridge Round Pre-Series B
2482,20,08/05/2015,GrandOpinion,Online Medical Diagnostic,New Delhi,Florida based Angel investor,Seed Funding,"150,000",
2483,21,08/05/2015,HealthifyMe,Health & Fitness App,Bangalore,Micromax Informatics,Private Equity,N/A,Strategic Investment
2484,22,12/05/2015,ZapStitch,Cloud Data Integration Platform,Bangalore,"Helion Venture Partners, Orios Venture Partners",Private Equity,"2,000,000",Pre-Series A
2485,23,12/05/2015,Wassup,Mobile Laundry Cleaning Service,Chennai,"Arun Chandra Mohan, Praveen Sinha",Private Equity,"2,000,000",Pre-Series A
2486,24,12/05.2015,Mobiefit,Mobile Fitness App,Goa,Prototyze,Seed Funding,N/A,
2487,25,12/05.2015,Plancess,Online Education Platform,Mumbai,"Rajendra Gogri,  Chandrakant Gogri",Seed Funding,"2,000,000",
