,Date,Year,Month,Startup,IndustryVertical,SubVertical,City,InvestorName,InvestmentType,NewAmount
772,2016-04-07,2016.0,4.0,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bengaluru,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000.0
773,2016-04-07,2016.0,4.0,StitchWood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,200000.0
774,2016-04-07,2016.0,4.0,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,2000000.0
775,2016-04-07,2016.0,4.0,Fulfil.IO,Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,0.0
776,2016-04-07,2016.0,4.0,NeoGrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.0
777,2016-05-07,2016.0,5.0,SeeDoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurugram,YourNest Angel Fund  & Others,Private Equity,1000000.0
778,2016-05-07,2016.0,5.0,BookMyShow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000.0
779,2016-05-07,2016.0,5.0,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,  Abhishek Jain",Seed Funding,1700000.0
780,2016-06-07,2016.0,6.0,HappilyUnmarried,eCommerce,Online Merchandize etailer,Delhi,Info Edge (India) Ltd,Private Equity,740000.0
781,2016-06-07,2016.0,6.0,Don’t Scratch Your Head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000.0
782,2016-06-07,2016.0,6.0,Wedding Wishlist,Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000.0
783,2016-07-07,2016.0,7.0,AppDaily,Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000.0
784,2016-07-07,2016.0,7.0,Adytude,Consumer Internet,Gamified Consumer Insights Portal,Delhi,Indian Angel Network,Private Equity,1000000.0
785,2016-07-07,2016.0,7.0,Quickli,Logistics,On-Demand Delivery Startup,Gurugram,"AVG Group, 500 Startups",Private Equity,0.0
786,2016-07-07,2016.0,7.0,SpectraVR,Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,0.0
787,2016-08-07,2016.0,8.0,Pitstop,Consumer Internet,Online Car Repair and Servicing Booking platform,Bengaluru,"Alex Chua, Rahul Garg",Seed Funding,0.0
788,2016-08-07,2016.0,8.0,HolaChef,Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.0
789,2016-11-07,2016.0,11.0,Purplle,eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000.0
790,2016-11-07,2016.0,11.0,Trak N Tell,Technology,Car Tracking & Safety System,Gurugram,Brian Acton,Private Equity,3500000.0
791,2016-11-07,2016.0,11.0,Overcart.com,eCommerce,Unboxed & refurbished electronic products marketplace,Gurugram,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.0
792,2016-12-07,2016.0,12.0,SirionLabs,Technology,SAAS based Service Agreement Management,Gurugram,Sequoia Capital,Private Equity,12250000.0
793,2016-12-07,2016.0,12.0,GyanDhan,Consumer Internet,Education Focused Financing Platform,Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,0.0
794,2016-12-07,2016.0,12.0,MintM,Consumer Internet,Digital Marketing & AdTech Platform,Bengaluru,"Mumbai Angels,  Times Internet",Private Equity,0.0
795,2016-12-07,2016.0,12.0,HitGrit,Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,0.0
796,2016-12-07,2016.0,12.0,Find My Stay,Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,0.0
797,2016-07-13,2016.0,7.0,YAAP,Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",Delhi,Rainmaker Ventures,Private Equity,5000000.0
798,2016-07-13,2016.0,7.0,Utoo Cabs,Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,0.0
799,2016-07-13,2016.0,7.0,Twigly,Consumer Internet,Online Food Ordering & Delivery Startup,Gurugram,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000.0
800,2016-07-13,2016.0,7.0,ShareChat,Consumer Internet,Vernacular Language Content Creation & Sharing App,Bengaluru,"SAIF Partners, India Quotient",Private Equity,1350000.0
801,2016-07-13,2016.0,7.0,Urban Tailor,Consumer Internet,E-Tailoring service provider,Bengaluru,Unitus Seed Fund,Private Equity,0.0
802,2016-07-13,2016.0,7.0,RentMojo,Consumer Internet,Online Furniture Renting Platform,Bengaluru,"Accel Partners, IDG Ventures India",Private Equity,5000000.0
803,2016-07-13,2016.0,7.0,CityFurnish,Consumer Internet,Online Furniture Renting Platform,Gurugram,Brand Capital,Seed Funding,0.0
804,2016-07-13,2016.0,7.0,HEAL Institute,Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,0.0
805,2016-07-14,2016.0,7.0,Augrav,eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,450000.0
806,2016-07-14,2016.0,7.0,ShoppinPal,Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000.0
